ship,departure_date,inside,outside,balcony,suite,created_at
Celebrity Edge,26-Jun-2026,1668.81,1733.81,2431.31,4404.31,2025-12-24T07:49:03+00:00
Celebrity Equinox,05-May-2026,2144.51,2199.01,2898.51,5998.51,2025-12-24T07:49:03+00:00
Celebrity Equinox,14-May-2026,2423.47,2705.47,2698.47,8399.47,2025-12-24T07:49:03+00:00
Celebrity Equinox,23-May-2026,1798.5,1923.5,2048.5,5192.0,2025-12-24T07:49:03+00:00
Celebrity Equinox,02-Jun-2026,1348.44,1549.44,1649.44,4631.94,2025-12-24T07:49:08+00:00
Celebrity Equinox,11-Jun-2026,1599.0,1673.0,1819.5,5995.5,2025-12-24T07:49:08+00:00
Celebrity Equinox,20-Jun-2026,1978.7,2123.7,2347.2,6354.7,2025-12-24T07:49:08+00:00
Celebrity Equinox,30-Jun-2026,1244.3,1498.8,1898.8,4326.8,2025-12-24T07:49:08+00:00
Celebrity Flora,03-May-2026,N/A,N/A,N/A,14164.0,2025-12-24T07:49:08+00:00
Celebrity Flora,03-May-2026,N/A,N/A,N/A,14313.5,2025-12-24T07:49:08+00:00
Celebrity Flora,03-May-2026,N/A,N/A,N/A,22513.5,2025-12-24T07:49:08+00:00
Celebrity Flora,03-May-2026,N/A,N/A,N/A,12164.0,2025-12-24T07:49:08+00:00
Celebrity Flora,31-May-2026,N/A,N/A,N/A,13135.0,2025-12-24T07:49:08+00:00
Celebrity Flora,31-May-2026,N/A,N/A,N/A,13284.5,2025-12-24T07:49:08+00:00
Celebrity Flora,31-May-2026,N/A,N/A,N/A,21484.5,2025-12-24T07:49:08+00:00
Celebrity Flora,31-May-2026,N/A,N/A,N/A,11135.0,2025-12-24T07:49:08+00:00
Celebrity Flora,07-Jun-2026,N/A,N/A,N/A,12484.0,2025-12-24T07:49:08+00:00
Celebrity Flora,07-Jun-2026,N/A,N/A,N/A,12633.5,2025-12-24T07:49:08+00:00
Celebrity Flora,07-Jun-2026,N/A,N/A,N/A,20833.5,2025-12-24T07:49:08+00:00
Celebrity Flora,07-Jun-2026,N/A,N/A,N/A,10484.0,2025-12-24T07:49:08+00:00
Celebrity Flora,14-Jun-2026,N/A,N/A,N/A,12110.0,2025-12-24T07:49:08+00:00
Celebrity Flora,14-Jun-2026,N/A,N/A,N/A,12259.5,2025-12-24T07:49:08+00:00
Celebrity Flora,14-Jun-2026,N/A,N/A,N/A,20459.5,2025-12-24T07:49:08+00:00
Celebrity Flora,14-Jun-2026,N/A,N/A,N/A,10110.0,2025-12-24T07:49:08+00:00
Celebrity Flora,21-Jun-2026,N/A,N/A,N/A,11655.0,2025-12-24T07:49:13+00:00
Celebrity Flora,21-Jun-2026,N/A,N/A,N/A,11804.5,2025-12-24T07:49:13+00:00
Celebrity Flora,21-Jun-2026,N/A,N/A,N/A,20004.5,2025-12-24T07:49:13+00:00
Celebrity Flora,21-Jun-2026,N/A,N/A,N/A,9655.0,2025-12-24T07:49:13+00:00
Celebrity Flora,28-Jun-2026,N/A,N/A,N/A,13530.0,2025-12-24T07:49:13+00:00
Celebrity Flora,28-Jun-2026,N/A,N/A,N/A,13679.5,2025-12-24T07:49:13+00:00
Celebrity Flora,28-Jun-2026,N/A,N/A,N/A,21879.5,2025-12-24T07:49:13+00:00
Celebrity Flora,28-Jun-2026,N/A,N/A,N/A,11530.0,2025-12-24T07:49:13+00:00
Celebrity Infinity,01-May-2026,1623.66,1757.66,2549.16,5009.16,2025-12-24T07:49:13+00:00
Celebrity Infinity,11-May-2026,2223.28,2719.78,3403.78,8417.78,2025-12-24T07:49:13+00:00
Celebrity Infinity,22-May-2026,1373.08,1923.58,2098.58,4487.58,2025-12-24T07:49:13+00:00
Celebrity Infinity,30-May-2026,1962.39,1982.39,2280.89,4098.89,2025-12-24T07:49:13+00:00
Celebrity Infinity,06-Jun-2026,1461.36,1692.36,2032.86,3910.86,2025-12-24T07:49:13+00:00
Celebrity Infinity,13-Jun-2026,1326.41,1371.41,1761.41,3286.41,2025-12-24T07:49:13+00:00
Celebrity Infinity,20-Jun-2026,1301.59,1370.09,1821.59,3093.09,2025-12-24T07:49:13+00:00
Celebrity Infinity,27-Jun-2026,1180.91,1371.41,1756.41,3297.41,2025-12-24T07:49:13+00:00
Celebrity Millennium,26-May-2026,3027.76,3743.76,N/A,20845.76,2025-12-24T07:49:13+00:00
Celebrity Millennium,07-Jun-2026,2187.95,2832.95,4590.45,4690.95,2025-12-24T07:49:13+00:00
Celebrity Millennium,19-Jun-2026,2290.29,2306.29,3664.79,5429.79,2025-12-24T07:49:13+00:00
Celebrity Reflection,01-May-2026,289.21,344.71,382.21,1024.71,2025-12-24T07:49:13+00:00
Celebrity Reflection,04-May-2026,521.35,397.85,452.85,1168.35,2025-12-24T07:49:18+00:00
Celebrity Reflection,08-May-2026,295.8,373.8,381.3,913.8,2025-12-24T07:49:18+00:00
Celebrity Reflection,11-May-2026,382.26,459.76,487.76,1238.26,2025-12-24T07:49:18+00:00
Celebrity Reflection,15-May-2026,343.26,377.76,405.76,975.26,2025-12-24T07:49:18+00:00
Celebrity Reflection,18-May-2026,407.05,494.55,523.05,1293.55,2025-12-24T07:49:18+00:00
Celebrity Reflection,22-May-2026,378.42,467.92,495.92,978.92,2025-12-24T07:49:18+00:00
Celebrity Reflection,25-May-2026,419.73,519.23,546.73,1146.73,2025-12-24T07:49:18+00:00
Celebrity Reflection,29-May-2026,361.71,395.21,423.71,1011.71,2025-12-24T07:49:18+00:00
Celebrity Reflection,01-Jun-2026,541.05,574.05,602.05,1334.05,2025-12-24T07:49:18+00:00
Celebrity Reflection,05-Jun-2026,385.0,431.0,463.5,1137.5,2025-12-24T07:49:18+00:00
Celebrity Reflection,08-Jun-2026,509.62,514.62,623.62,1223.62,2025-12-24T07:49:18+00:00
Celebrity Reflection,12-Jun-2026,382.21,448.71,476.71,1050.21,2025-12-24T07:49:18+00:00
Celebrity Reflection,15-Jun-2026,391.38,469.88,497.88,1309.88,2025-12-24T07:49:18+00:00
Celebrity Reflection,19-Jun-2026,394.08,447.08,475.08,995.08,2025-12-24T07:49:18+00:00
Celebrity Reflection,22-Jun-2026,521.26,687.76,702.76,1522.26,2025-12-24T07:49:18+00:00
Celebrity Reflection,26-Jun-2026,419.21,472.71,501.21,1138.71,2025-12-24T07:49:18+00:00
Celebrity Reflection,29-Jun-2026,493.91,523.91,568.91,1230.41,2025-12-24T07:49:18+00:00
Celebrity Silhouette,02-May-2026,842.01,948.51,1051.51,7206.51,2025-12-24T07:49:18+00:00
Celebrity Silhouette,10-May-2026,1189.32,1190.32,1198.82,4396.82,2025-12-24T07:49:18+00:00
Celebrity Silhouette,17-May-2026,1122.8,1142.8,1151.3,4420.8,2025-12-24T07:49:18+00:00
Celebrity Silhouette,24-May-2026,800.3,1155.8,1156.8,4342.8,2025-12-24T07:49:23+00:00
Celebrity Silhouette,31-May-2026,1148.3,1163.3,1165.8,4588.3,2025-12-24T07:49:23+00:00
Celebrity Silhouette,07-Jun-2026,1111.8,1182.8,1388.8,4537.8,2025-12-24T07:49:23+00:00
Celebrity Silhouette,14-Jun-2026,1219.28,1236.78,1757.78,7642.78,2025-12-24T07:49:23+00:00
Celebrity Silhouette,21-Jun-2026,2498.75,3836.25,3298.25,11310.25,2025-12-24T07:49:23+00:00
Celebrity Solstice,03-May-2026,1266.0,1610.5,1702.5,3460.5,2025-12-24T07:49:23+00:00
Celebrity Solstice,10-May-2026,1099.22,1428.72,1339.22,3825.72,2025-12-24T07:49:23+00:00
Celebrity Solstice,17-May-2026,1059.58,1443.58,1446.58,3575.58,2025-12-24T07:49:23+00:00
Celebrity Solstice,24-May-2026,973.72,1273.72,1367.22,3871.22,2025-12-24T07:49:23+00:00
Celebrity Solstice,31-May-2026,1795.13,2556.13,1625.13,3529.63,2025-12-24T07:49:23+00:00
Celebrity Solstice,07-Jun-2026,995.72,1588.72,1593.72,3251.72,2025-12-24T07:49:23+00:00
Celebrity Solstice,14-Jun-2026,1037.63,1424.63,1538.13,3194.63,2025-12-24T07:49:23+00:00
Celebrity Solstice,21-Jun-2026,1186.95,1258.95,1793.95,2962.95,2025-12-24T07:49:23+00:00
Celebrity Solstice,28-Jun-2026,1152.63,1407.13,1703.63,3355.63,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,756.48,944.98,1822.98,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,1835.48,2026.48,2917.98,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,2082.98,2273.48,3164.98,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,2278.48,2468.98,3360.48,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,2142.48,2333.48,3224.98,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,2722.48,2913.48,3804.98,N/A,2025-12-24T07:49:23+00:00
Celebrity Summit,08-May-2026,2518.48,2708.98,3600.48,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,08-May-2026,3049.98,3240.98,4132.48,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,08-May-2026,2976.48,3167.98,4058.98,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,08-May-2026,3440.48,3630.98,4522.48,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,15-May-2026,683.75,894.75,1709.25,5480.25,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,734.14,1236.64,2012.14,6342.64,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2994.14,3509.14,4304.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2140.14,2655.64,3450.64,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2340.14,2809.64,3584.64,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2201.64,2697.14,3472.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2584.64,3009.64,3784.64,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,2792.64,3307.64,4102.64,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,3052.14,3447.14,4222.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,3126.64,3478.14,4253.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,3264.14,3779.14,4574.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,4741.64,4947.14,5722.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,3501.64,3972.14,4747.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,22-May-2026,3524.64,3997.14,4772.14,N/A,2025-12-24T07:49:26+00:00
Celebrity Summit,29-May-2026,3140.19,3426.19,4299.69,7023.19,2025-12-24T07:49:26+00:00
Celebrity Summit,29-May-2026,3400.69,3687.19,4560.19,7283.19,2025-12-24T07:49:26+00:00
Celebrity Summit,29-May-2026,4617.69,4903.69,5777.19,8500.19,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,3377.69,3663.69,4537.19,7260.19,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,3002.69,3288.69,4162.19,6885.69,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,2928.19,3214.69,4087.69,6810.69,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,2668.69,2955.19,3828.19,6551.19,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,2870.19,3157.19,4030.19,6753.19,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,1996.66,2282.66,3155.66,5879.16,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,2216.19,2502.69,3375.69,6098.69,2025-12-24T07:49:31+00:00
Celebrity Summit,29-May-2026,724.69,895.69,1747.69,4405.19,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,943.97,N/A,2393.47,6726.97,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,2588.47,N/A,3730.97,8515.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,2472.97,N/A,3618.47,8399.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3241.47,N/A,4249.47,9168.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,2801.97,N/A,4287.97,8729.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3090.97,N/A,4576.47,9018.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3153.97,N/A,4368.47,9080.97,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3336.47,N/A,4399.47,9263.97,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3811.47,N/A,4918.47,9738.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,4893.47,N/A,5868.47,10963.97,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3811.47,N/A,4893.47,9738.47,2025-12-24T07:49:31+00:00
Celebrity Summit,05-Jun-2026,3625.47,N/A,4793.47,9552.97,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,3460.98,N/A,4970.48,7420.48,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,4872.48,N/A,6045.48,8495.48,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,2926.48,N/A,4949.98,7009.98,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,2423.48,N/A,3907.98,6357.98,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,3076.48,N/A,4426.48,6876.48,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,2255.48,N/A,3745.48,6195.48,2025-12-24T07:49:36+00:00
Celebrity Summit,12-Jun-2026,736.48,4097.98,2710.48,4720.98,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,725.61,1490.61,2550.61,5698.11,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,3068.61,3521.61,4296.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2247.61,2840.61,3615.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2415.61,3003.11,3778.11,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2300.11,2890.61,3665.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2630.11,3203.11,3978.11,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2918.61,3702.61,4789.11,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,3164.11,3671.61,4446.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,2981.61,3640.61,4415.61,8077.61,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,3638.61,4165.61,4940.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,4864.11,5140.61,5915.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,3638.61,4190.61,4965.61,N/A,2025-12-24T07:49:36+00:00
Celebrity Summit,19-Jun-2026,3453.11,4236.61,5323.61,N/A,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3787.05,3966.05,5094.05,7544.05,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,4919.05,5191.55,6044.05,8494.05,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3787.05,3966.05,5862.55,7788.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3601.55,3780.05,5677.05,7602.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3312.55,3491.55,5388.55,7314.05,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3129.55,3308.55,4544.05,6994.05,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,3067.05,3245.05,5142.55,7068.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,2778.55,2956.55,4854.05,6779.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,2564.05,2742.55,3906.55,6356.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,2448.55,2627.05,4524.05,6449.55,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,2396.05,2574.55,4471.55,6397.05,2025-12-24T07:49:41+00:00
Celebrity Summit,26-Jun-2026,923.55,1097.55,2948.55,4827.55,2025-12-24T07:49:41+00:00
Celebrity Xcel,11-May-2026,2607.07,3058.57,4013.57,10380.57,2025-12-24T07:49:41+00:00
Celebrity Xcel,22-May-2026,2151.26,2344.26,3523.76,8301.26,2025-12-24T07:49:41+00:00
Celebrity Xcel,01-Jun-2026,2584.78,2748.28,3473.28,9196.28,2025-12-24T07:49:41+00:00
Celebrity Xcel,12-Jun-2026,2448.54,2498.54,2874.04,4471.54,2025-12-24T07:49:41+00:00
Celebrity Xcel,19-Jun-2026,2258.0,2684.5,3174.0,5999.0,2025-12-24T07:49:41+00:00
Celebrity Xcel,27-Jun-2026,3148.01,3649.51,4400.01,6115.51,2025-12-24T07:49:41+00:00
Celebrity Apex,04-Jul-2026,N/A,N/A,N/A,6213.31,2025-12-24T07:49:46+00:00
Celebrity Apex,11-Jul-2026,4077.08,4518.58,4958.58,34749.08,2025-12-24T07:49:46+00:00
Celebrity Apex,23-Jul-2026,3548.45,3838.95,N/A,6162.95,2025-12-24T07:49:46+00:00
Celebrity Apex,01-Aug-2026,3249.35,3835.35,4528.85,18473.85,2025-12-24T07:49:46+00:00
Celebrity Apex,15-Aug-2026,2226.18,3280.68,4039.68,6007.18,2025-12-24T07:49:46+00:00
Celebrity Apex,22-Aug-2026,N/A,N/A,N/A,6064.55,2025-12-24T07:49:46+00:00
Celebrity Apex,29-Aug-2026,3599.8,4045.3,6390.3,N/A,2025-12-24T07:49:46+00:00
Celebrity Ascent,06-Jul-2026,2379.65,3057.65,3440.65,5865.65,2025-12-24T07:49:46+00:00
Celebrity Ascent,17-Jul-2026,1925.37,2648.87,3654.87,12197.87,2025-12-24T07:49:46+00:00
Celebrity Ascent,27-Jul-2026,2200.87,2804.87,3062.87,5112.37,2025-12-24T07:49:46+00:00
Celebrity Ascent,07-Aug-2026,2283.46,2960.96,3652.46,6487.46,2025-12-24T07:49:46+00:00
Celebrity Ascent,17-Aug-2026,2298.22,3098.22,3514.22,5022.72,2025-12-24T07:49:46+00:00
Celebrity Ascent,28-Aug-2026,2343.59,2728.59,3473.59,7961.59,2025-12-24T07:49:46+00:00
Celebrity Beyond,05-Jul-2026,1241.17,1241.17,1493.67,3375.17,2025-12-24T07:49:46+00:00
Celebrity Beyond,12-Jul-2026,1004.2,1256.2,1514.2,3425.2,2025-12-24T07:49:46+00:00
Celebrity Beyond,19-Jul-2026,1186.98,1318.48,1460.98,4051.98,2025-12-24T07:49:46+00:00
Celebrity Beyond,26-Jul-2026,1401.69,1559.69,1709.69,3157.19,2025-12-24T07:49:46+00:00
Celebrity Beyond,02-Aug-2026,1133.62,1158.12,1289.12,2661.12,2025-12-24T07:49:46+00:00
Celebrity Beyond,09-Aug-2026,1130.94,1226.94,1498.94,3021.44,2025-12-24T07:49:46+00:00
Celebrity Beyond,16-Aug-2026,1065.56,1075.06,1368.56,2561.06,2025-12-24T07:49:46+00:00
Celebrity Beyond,23-Aug-2026,899.94,1079.44,1413.94,2680.94,2025-12-24T07:49:51+00:00
Celebrity Beyond,30-Aug-2026,739.17,825.17,996.67,2728.67,2025-12-24T07:49:51+00:00
Celebrity Constellation,10-Jul-2026,1228.2,1607.7,2277.7,5058.2,2025-12-24T07:49:51+00:00
Celebrity Constellation,20-Jul-2026,1353.91,1372.91,1899.41,4391.91,2025-12-24T07:49:51+00:00
Celebrity Constellation,31-Jul-2026,1198.5,1299.0,1999.0,4893.5,2025-12-24T07:49:51+00:00
Celebrity Constellation,10-Aug-2026,1399.41,1499.41,2298.91,5245.41,2025-12-24T07:49:51+00:00
Celebrity Constellation,21-Aug-2026,1399.37,1699.37,2398.87,4780.37,2025-12-24T07:49:51+00:00
Celebrity Constellation,31-Aug-2026,1398.68,1424.68,2398.68,7056.18,2025-12-24T07:49:51+00:00
Celebrity Eclipse,03-Jul-2026,2841.96,3103.46,3092.46,7528.46,2025-12-24T07:49:51+00:00
Celebrity Eclipse,15-Jul-2026,3017.13,N/A,5413.63,21643.13,2025-12-24T07:49:51+00:00
Celebrity Eclipse,26-Jul-2026,2548.93,2549.43,4321.93,7392.93,2025-12-24T07:49:51+00:00
Celebrity Eclipse,02-Aug-2026,3076.84,3121.34,N/A,11071.84,2025-12-24T07:49:51+00:00
Celebrity Eclipse,14-Aug-2026,4325.06,N/A,7585.06,N/A,2025-12-24T07:49:51+00:00
Celebrity Eclipse,26-Aug-2026,2483.68,2501.18,3101.18,8082.68,2025-12-24T07:49:51+00:00
Celebrity Edge,03-Jul-2026,1406.89,N/A,2522.39,5210.89,2025-12-24T07:49:51+00:00
Celebrity Edge,10-Jul-2026,N/A,N/A,2312.31,5880.81,2025-12-24T07:49:51+00:00
Celebrity Edge,17-Jul-2026,N/A,2007.41,2571.41,5261.41,2025-12-24T07:49:51+00:00
Celebrity Edge,24-Jul-2026,1570.17,2273.67,2312.67,5076.17,2025-12-24T07:49:51+00:00
Celebrity Edge,31-Jul-2026,1558.55,1970.55,2675.05,5627.55,2025-12-24T07:49:51+00:00
Celebrity Edge,07-Aug-2026,1609.24,1977.24,2381.24,5639.74,2025-12-24T07:49:51+00:00
Celebrity Edge,14-Aug-2026,1563.24,1801.24,2391.24,4870.24,2025-12-24T07:49:56+00:00
Celebrity Edge,21-Aug-2026,1186.24,1527.24,1889.24,4141.74,2025-12-24T07:49:56+00:00
Celebrity Edge,28-Aug-2026,1093.55,1213.55,1692.05,4465.55,2025-12-24T07:49:56+00:00
Celebrity Equinox,16-Jul-2026,2218.2,2723.7,2875.2,9298.2,2025-12-24T07:49:56+00:00
Celebrity Equinox,28-Jul-2026,1498.78,1624.28,1848.78,4297.28,2025-12-24T07:49:56+00:00
Celebrity Equinox,15-Aug-2026,1549.45,1948.95,1973.95,4948.95,2025-12-24T07:49:56+00:00
Celebrity Equinox,25-Aug-2026,1273.8,1803.8,1799.3,3938.3,2025-12-24T07:49:56+00:00
Celebrity Flora,05-Jul-2026,N/A,N/A,N/A,11987.0,2025-12-24T07:49:56+00:00
Celebrity Flora,05-Jul-2026,N/A,N/A,N/A,12136.5,2025-12-24T07:49:56+00:00
Celebrity Flora,05-Jul-2026,N/A,N/A,N/A,20336.5,2025-12-24T07:49:56+00:00
Celebrity Flora,05-Jul-2026,N/A,N/A,N/A,9987.0,2025-12-24T07:49:56+00:00
Celebrity Flora,12-Jul-2026,N/A,N/A,N/A,10680.0,2025-12-24T07:49:56+00:00
Celebrity Flora,12-Jul-2026,N/A,N/A,N/A,10829.5,2025-12-24T07:49:56+00:00
Celebrity Flora,12-Jul-2026,N/A,N/A,N/A,19029.5,2025-12-24T07:49:56+00:00
Celebrity Flora,12-Jul-2026,N/A,N/A,N/A,8408.0,2025-12-24T07:49:56+00:00
Celebrity Flora,19-Jul-2026,N/A,N/A,N/A,11090.0,2025-12-24T07:49:56+00:00
Celebrity Flora,19-Jul-2026,N/A,N/A,N/A,11239.5,2025-12-24T07:49:56+00:00
Celebrity Flora,19-Jul-2026,N/A,N/A,N/A,19439.5,2025-12-24T07:49:56+00:00
Celebrity Flora,19-Jul-2026,N/A,N/A,N/A,9090.0,2025-12-24T07:49:56+00:00
Celebrity Flora,26-Jul-2026,N/A,N/A,N/A,13499.0,2025-12-24T07:49:56+00:00
Celebrity Flora,26-Jul-2026,N/A,N/A,N/A,13648.5,2025-12-24T07:50:01+00:00
Celebrity Flora,26-Jul-2026,N/A,N/A,N/A,21848.5,2025-12-24T07:50:01+00:00
Celebrity Flora,26-Jul-2026,N/A,N/A,N/A,11499.0,2025-12-24T07:50:01+00:00
Celebrity Flora,02-Aug-2026,N/A,N/A,N/A,13051.0,2025-12-24T07:50:01+00:00
Celebrity Flora,02-Aug-2026,N/A,N/A,N/A,13200.5,2025-12-24T07:50:01+00:00
Celebrity Flora,02-Aug-2026,N/A,N/A,N/A,21400.5,2025-12-24T07:50:01+00:00
Celebrity Flora,02-Aug-2026,N/A,N/A,N/A,11051.0,2025-12-24T07:50:01+00:00
Celebrity Flora,09-Aug-2026,N/A,N/A,N/A,10210.0,2025-12-24T07:50:01+00:00
Celebrity Flora,09-Aug-2026,N/A,N/A,N/A,10359.5,2025-12-24T07:50:01+00:00
Celebrity Flora,09-Aug-2026,N/A,N/A,N/A,18559.5,2025-12-24T07:50:01+00:00
Celebrity Flora,09-Aug-2026,N/A,N/A,N/A,8210.0,2025-12-24T07:50:01+00:00
Celebrity Flora,16-Aug-2026,N/A,N/A,N/A,13048.0,2025-12-24T07:50:01+00:00
Celebrity Flora,16-Aug-2026,N/A,N/A,N/A,13197.5,2025-12-24T07:50:01+00:00
Celebrity Flora,16-Aug-2026,N/A,N/A,N/A,21397.5,2025-12-24T07:50:01+00:00
Celebrity Flora,16-Aug-2026,N/A,N/A,N/A,11048.0,2025-12-24T07:50:01+00:00
Celebrity Flora,23-Aug-2026,N/A,N/A,N/A,10268.0,2025-12-24T07:50:01+00:00
Celebrity Flora,23-Aug-2026,N/A,N/A,N/A,10418.5,2025-12-24T07:50:01+00:00
Celebrity Flora,23-Aug-2026,N/A,N/A,N/A,18618.5,2025-12-24T07:50:01+00:00
Celebrity Flora,23-Aug-2026,N/A,N/A,N/A,8268.0,2025-12-24T07:50:01+00:00
Celebrity Flora,30-Aug-2026,N/A,N/A,N/A,10744.0,2025-12-24T07:50:01+00:00
Celebrity Flora,30-Aug-2026,N/A,N/A,N/A,10893.5,2025-12-24T07:50:05+00:00
Celebrity Flora,30-Aug-2026,N/A,N/A,N/A,19093.5,2025-12-24T07:50:05+00:00
Celebrity Flora,30-Aug-2026,N/A,N/A,N/A,8744.0,2025-12-24T07:50:05+00:00
Celebrity Infinity,04-Jul-2026,1252.14,1347.14,1655.14,2998.64,2025-12-24T07:50:05+00:00
Celebrity Infinity,11-Jul-2026,1114.53,1209.53,1422.03,2955.03,2025-12-24T07:50:05+00:00
Celebrity Infinity,18-Jul-2026,1178.45,1225.95,1340.95,2585.95,2025-12-24T07:50:05+00:00
Celebrity Infinity,25-Jul-2026,1208.41,1202.91,1448.41,2846.41,2025-12-24T07:50:05+00:00
Celebrity Infinity,01-Aug-2026,1154.08,1201.58,1523.58,2905.08,2025-12-24T07:50:05+00:00
Celebrity Infinity,08-Aug-2026,1202.91,1298.41,1648.41,2848.91,2025-12-24T07:50:05+00:00
Celebrity Infinity,15-Aug-2026,1076.12,1110.62,1423.12,2896.62,2025-12-24T07:50:05+00:00
Celebrity Infinity,23-Aug-2026,1109.69,1203.69,1390.19,2788.69,2025-12-24T07:50:05+00:00
Celebrity Infinity,30-Aug-2026,1109.5,1299.5,1796.5,3248.5,2025-12-24T07:50:05+00:00
Celebrity Millennium,01-Jul-2026,2224.47,2327.97,3804.97,N/A,2025-12-24T07:50:05+00:00
Celebrity Millennium,13-Jul-2026,3127.3,2006.3,3300.3,N/A,2025-12-24T07:50:05+00:00
Celebrity Millennium,25-Jul-2026,2098.29,2064.79,3153.29,N/A,2025-12-24T07:50:05+00:00
Celebrity Millennium,06-Aug-2026,N/A,2396.2,2791.7,5148.7,2025-12-24T07:50:05+00:00
Celebrity Millennium,18-Aug-2026,2040.05,2326.55,2788.55,4812.55,2025-12-24T07:50:05+00:00
